Batalhas,WinRate_Bloco,Epsilon,Reward
500,51.2,0.3019561279913796,-144760.0
1000,45.2,0.22862405041302095,-448670.0
1500,48.6,0.17308731365662827,-661060.0
2000,47.4,0.12998685198411397,-907680.0
2500,49.6,0.0998421729114962,-1087370.0
3000,47.599999999999994,0.07495349099255452,-1317820.0
3500,54.400000000000006,0.05656808669297556,-1352600.0
4000,51.6,0.05,-1469650.0
4500,52.400000000000006,0.05,-1557380.0
5000,51.800000000000004,0.05,-1667620.0
5500,54.800000000000004,0.05,-1686720.0
6000,50.0,0.05,-1851490.0
6500,50.0,0.05,-2018810.0
7000,53.800000000000004,0.05,-2065540.0
7500,50.2,0.05,-2209050.0
8000,49.4,0.05,-2388990.0
8500,50.8,0.05,-2530500.0
9000,52.800000000000004,0.05,-2607180.0
9500,50.4,0.05,-2756110.0
10000,51.2,0.05,-2876450.0
