Batalhas,WinRate_Bloco,Epsilon,Reward
500,37.4,0.18701625537664954,-567540.0
1000,43.6,0.08673663400486138,-955400.0
1500,41.6,0.05,-1388010.0
2000,41.199999999999996,0.05,-1824860.0
2500,40.0,0.05,-2307240.0
3000,45.0,0.05,-2636890.0
3500,42.4,0.05,-3050610.0
4000,42.6,0.05,-3444010.0
4500,47.0,0.05,-3725760.0
5000,52.0,0.05,-3860720.0
5500,42.6,0.05,-4252240.0
6000,42.0,0.05,-4678790.0
6500,43.6,0.05,-5041850.0
7000,46.800000000000004,0.05,-5319700.0
7500,46.6,0.05,-5596350.0
8000,45.800000000000004,0.05,-5912730.0
8500,46.6,0.05,-6200520.0
9000,42.8,0.05,-6586280.0
9500,47.0,0.05,-6846730.0
10000,42.199999999999996,0.05,-7256680.0
