Batalhas,WinRate_Bloco,Epsilon,Reward
500,45.800000000000004,0.45315165476074554,-325350.0
1000,48.199999999999996,0.343011530610461,-557070.0
1500,45.0,0.25989593183177406,-879710.0
2000,49.0,0.19785185846040948,-1082040.0
2500,49.8,0.14874831378001485,-1259150.0
3000,48.8,0.11207327264048259,-1456200.0
3500,51.6,0.0849727068591733,-1578590.0
4000,52.400000000000006,0.06385451240297389,-1661480.0
4500,52.800000000000004,0.05,-1737010.0
5000,54.400000000000006,0.05,-1775720.0
5500,50.2,0.05,-1933600.0
6000,50.8,0.05,-2079990.0
6500,53.800000000000004,0.05,-2113760.0
7000,53.0,0.05,-2180300.0
7500,51.0,0.05,-2317200.0
8000,51.0,0.05,-2447320.0
8500,53.400000000000006,0.05,-2513110.0
9000,54.800000000000004,0.05,-2526240.0
9500,48.8,0.05,-2711230.0
10000,56.00000000000001,0.05,-2691120.0
