Batalhas,WinRate_Bloco,Epsilon,Reward
500,41.6,0.45073825031509307,-437170.0
1000,44.4,0.3367577669751095,-788570.0
1500,46.400000000000006,0.2557041535745272,-1076830.0
2000,50.0,0.19387204078587017,-1253370.0
2500,47.199999999999996,0.14667739278966369,-1505830.0
3000,49.8,0.11078958394629239,-1684660.0
3500,48.4,0.08394904334721685,-1898480.0
4000,49.4,0.06398746934563052,-2084390.0
4500,53.6,0.05,-2142670.0
5000,48.4,0.05,-2366780.0
5500,51.2,0.05,-2493410.0
6000,49.8,0.05,-2659180.0
6500,48.4,0.05,-2873830.0
7000,48.8,0.05,-3072910.0
7500,54.0,0.05,-3129070.0
8000,48.199999999999996,0.05,-3344930.0
8500,50.8,0.05,-3485300.0
9000,53.6,0.05,-3548170.0
9500,54.6,0.05,-3582310.0
10000,50.6,0.05,-3736660.0
