Batalhas,WinRate_Bloco,Epsilon,Reward
500,41.6,0.45115312446698597,-435950.0
1000,42.0,0.3414987502248402,-853950.0
1500,44.2,0.255438356835095,-1205440.0
2000,44.6,0.1916322635818878,-1538180.0
2500,44.2,0.14568627384526225,-1896880.0
3000,45.6,0.11066778118971768,-2204570.0
3500,48.6,0.08317026521875107,-2413020.0
4000,45.2,0.06278317243511275,-2728990.0
4500,53.2,0.05,-2806190.0
5000,48.6,0.05,-3010430.0
5500,52.2,0.05,-3114680.0
6000,51.0,0.05,-3249170.0
6500,50.8,0.05,-3399430.0
7000,48.8,0.05,-3612950.0
7500,51.0,0.05,-3747570.0
8000,48.8,0.05,-3945550.0
8500,47.0,0.05,-4202170.0
9000,47.599999999999994,0.05,-4436350.0
9500,54.6,0.05,-4469290.0
10000,49.4,0.05,-4658530.0
