Batalhas,WinRate_Bloco,Epsilon,Reward
500,69.39999999999999,0.01,969620.0
1000,71.8,0.01,1981110.0
1500,70.6,0.01,2970560.0
2000,71.8,0.01,3984190.0
2500,73.6,0.01,5042820.0
3000,70.39999999999999,0.01,6042120.0
3500,70.19999999999999,0.01,7033990.0
4000,73.6,0.01,8106720.0
4500,70.6,0.01,9095880.0
5000,73.6,0.01,10146750.0
5500,73.0,0.01,11197530.0
6000,70.6,0.01,12200860.0
6500,70.19999999999999,0.01,13181530.0
7000,71.0,0.01,14197730.0
7500,72.39999999999999,0.01,15238860.0
8000,72.0,0.01,16266540.0
8500,73.0,0.01,17318280.0
9000,72.2,0.01,18348720.0
9500,70.19999999999999,0.01,19333500.0
10000,73.4,0.01,20395270.0
10500,73.2,0.01,21447630.0
11000,72.0,0.01,22472960.0
11500,69.19999999999999,0.01,23430170.0
12000,74.4,0.01,24504970.0
12500,73.4,0.01,25557280.0
13000,70.19999999999999,0.01,26535100.0
13500,71.0,0.01,27532140.0
14000,75.0,0.01,28629870.0
14500,74.4,0.01,29708370.0
15000,72.8,0.01,30753160.0
