Batalhas,WinRate_Bloco,Epsilon,Reward
500,71.39999999999999,0.01,1010320.0
1000,73.6,0.01,2071590.0
1500,73.4,0.01,3124480.0
2000,75.0,0.01,4218700.0
2500,71.39999999999999,0.01,5231160.0
3000,71.8,0.01,6252180.0
3500,72.6,0.01,7293540.0
4000,71.39999999999999,0.01,8303300.0
4500,70.8,0.01,9295310.0
5000,72.8,0.01,10347380.0
5500,75.0,0.01,11452580.0
6000,71.6,0.01,12470580.0
6500,70.39999999999999,0.01,13457130.0
7000,74.6,0.01,14547170.0
7500,73.2,0.01,15597420.0
8000,75.6,0.01,16703760.0
8500,73.6,0.01,17764590.0
9000,72.6,0.01,18802960.0
9500,73.4,0.01,19853310.0
10000,72.8,0.01,20908280.0
10500,74.0,0.01,21982570.0
11000,71.2,0.01,22991200.0
11500,75.0,0.01,24085730.0
12000,75.8,0.01,25199290.0
12500,71.39999999999999,0.01,26208230.0
13000,76.0,0.01,27330420.0
13500,67.80000000000001,0.01,28260860.0
14000,73.2,0.01,29305210.0
14500,72.2,0.01,30331240.0
15000,71.8,0.01,31344240.0
15500,72.0,0.01,32356100.0
16000,74.0,0.01,33432810.0
16500,65.8,0.01,34320980.0
17000,73.4,0.01,35370030.0
17500,70.0,0.01,36350840.0
18000,75.0,0.01,37440170.0
18500,69.6,0.01,38404370.0
19000,73.2,0.01,39445400.0
19500,70.19999999999999,0.01,40430350.0
20000,73.4,0.01,41488260.0
