Batalhas,WinRate_Bloco,Epsilon,Reward
500,71.8,0.01,1020290.0
1000,71.2,0.01,2027450.0
1500,71.8,0.01,3056630.0
2000,70.6,0.01,4047280.0
2500,75.4,0.01,5148280.0
3000,70.6,0.01,6128460.0
3500,71.6,0.01,7139740.0
4000,71.39999999999999,0.01,8155250.0
4500,74.4,0.01,9234950.0
5000,71.6,0.01,10254400.0
5500,72.0,0.01,11271930.0
6000,75.2,0.01,12372500.0
6500,72.6,0.01,13409800.0
7000,74.4,0.01,14501400.0
7500,70.8,0.01,15492270.0
8000,69.6,0.01,16465590.0
8500,71.8,0.01,17487070.0
9000,72.0,0.01,18503370.0
9500,70.19999999999999,0.01,19491140.0
10000,69.0,0.01,20451240.0
10500,75.2,0.01,21550100.0
11000,71.8,0.01,22569600.0
11500,70.39999999999999,0.01,23557930.0
12000,67.4,0.01,24480980.0
12500,69.6,0.01,25453930.0
13000,70.6,0.01,26433710.0
13500,71.0,0.01,27433060.0
14000,72.6,0.01,28470540.0
14500,70.0,0.01,29451580.0
15000,72.0,0.01,30479020.0
15500,69.6,0.01,31454010.0
16000,73.6,0.01,32520140.0
16500,75.0,0.01,33603700.0
17000,73.0,0.01,34645560.0
17500,72.8,0.01,35692680.0
18000,71.8,0.01,36712580.0
18500,72.39999999999999,0.01,37746750.0
19000,70.8,0.01,38743620.0
19500,69.6,0.01,39714500.0
20000,71.0,0.01,40706290.0
