Batalhas,WinRate_Bloco,Epsilon,Reward
500,72.2,0.01,1026940.0
1000,72.2,0.01,2062960.0
1500,73.0,0.01,3109440.0
2000,71.8,0.01,4134520.0
2500,67.4,0.01,5054180.0
3000,73.6,0.01,6111680.0
3500,72.0,0.01,7133950.0
4000,72.39999999999999,0.01,8172750.0
4500,68.0,0.01,9091370.0
5000,71.39999999999999,0.01,10098220.0
5500,73.4,0.01,11158890.0
6000,73.0,0.01,12207930.0
6500,67.80000000000001,0.01,13134510.0
7000,71.2,0.01,14140930.0
7500,69.19999999999999,0.01,15100930.0
8000,68.0,0.01,16037630.0
8500,73.4,0.01,17097250.0
9000,71.6,0.01,18106640.0
9500,68.4,0.01,19043950.0
10000,70.19999999999999,0.01,20027770.0
10500,70.8,0.01,21029110.0
11000,70.8,0.01,22032520.0
11500,73.0,0.01,23067100.0
12000,73.0,0.01,24118190.0
12500,72.0,0.01,25146940.0
13000,72.6,0.01,26184530.0
13500,72.8,0.01,27227360.0
14000,67.2,0.01,28143220.0
14500,71.2,0.01,29140810.0
15000,67.2,0.01,30044850.0
