Batalhas,WinRate_Bloco,Epsilon,Reward
500,68.8,0.01,940680.0
1000,72.39999999999999,0.01,1979280.0
1500,74.0,0.01,3051550.0
2000,73.4,0.01,4110520.0
2500,75.8,0.01,5218180.0
3000,71.39999999999999,0.01,6217790.0
3500,74.2,0.01,7292180.0
4000,67.60000000000001,0.01,8215270.0
4500,75.4,0.01,9315710.0
5000,70.6,0.01,10307680.0
5500,72.6,0.01,11346970.0
6000,73.2,0.01,12398830.0
6500,67.2,0.01,13324020.0
7000,72.6,0.01,14370620.0
7500,72.6,0.01,15415900.0
8000,74.6,0.01,16506160.0
8500,72.39999999999999,0.01,17535860.0
9000,68.8,0.01,18477810.0
9500,74.4,0.01,19553110.0
10000,74.8,0.01,20640530.0
10500,71.8,0.01,21660800.0
11000,71.8,0.01,22688110.0
11500,71.8,0.01,23711260.0
12000,75.0,0.01,24803590.0
12500,71.6,0.01,25819520.0
13000,71.0,0.01,26825620.0
13500,71.6,0.01,27843240.0
14000,75.6,0.01,28945050.0
14500,72.39999999999999,0.01,29983760.0
15000,70.0,0.01,30954940.0
