Batalhas,WinRate_Bloco,Epsilon,Reward
500,73.6,0.01,1061300.0
1000,69.0,0.01,2016450.0
1500,71.39999999999999,0.01,3028430.0
2000,70.0,0.01,4008360.0
2500,68.0,0.01,4948490.0
3000,69.8,0.01,5923980.0
3500,67.0,0.01,6839940.0
4000,71.0,0.01,7851100.0
4500,72.8,0.01,8889440.0
5000,69.0,0.01,9846990.0
5500,71.6,0.01,10856360.0
6000,71.0,0.01,11855710.0
6500,68.8,0.01,12810700.0
7000,70.8,0.01,13808030.0
7500,69.6,0.01,14779870.0
8000,74.0,0.01,15848010.0
8500,72.39999999999999,0.01,16889520.0
9000,72.39999999999999,0.01,17918480.0
9500,71.8,0.01,18932570.0
10000,72.0,0.01,19957930.0
10500,67.2,0.01,20867410.0
11000,70.8,0.01,21864970.0
11500,68.4,0.01,22806010.0
12000,70.39999999999999,0.01,23793520.0
12500,69.39999999999999,0.01,24761800.0
13000,73.0,0.01,25793900.0
13500,68.8,0.01,26756340.0
14000,70.6,0.01,27754130.0
14500,72.0,0.01,28789390.0
15000,72.6,0.01,29825840.0
