Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,50.6,0.298,-29421,0,19.41,44.7,442138
1000,50.0,0.296,-68688,0,19.38,44.7,443673
1500,49.2,0.294,-129127,0,19.35,44.6,445327
2000,52.0,0.292,-122353,0,19.31,44.6,446977
2500,54.0,0.291,-91960,0,19.28,44.5,448524
3000,46.6,0.289,-185232,0,19.26,44.5,450076
3500,42.6,0.287,-360341,0,19.23,44.5,451489
4000,51.0,0.285,-384313,0,19.21,44.4,452997
4500,53.4,0.283,-362240,0,19.18,44.4,454524
5000,49.0,0.281,-413793,0,19.15,44.3,456146
5500,46.8,0.279,-507731,0,19.13,44.3,457625
6000,48.2,0.277,-584026,0,19.11,44.3,459053
6500,49.0,0.274,-631083,0,19.08,44.3,460449
7000,49.2,0.272,-689364,0,19.06,44.2,461797
7500,50.4,0.270,-728300,0,19.04,44.2,463246
8000,50.4,0.268,-757878,0,19.02,44.2,464631
8500,50.4,0.266,-773876,0,19.00,44.1,466146
9000,48.6,0.264,-837689,0,18.98,44.1,467411
9500,48.0,0.261,-910547,0,18.96,44.1,468708
10000,49.4,0.259,-961833,0,18.94,44.1,470089
