Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.2,0.030,-51838,0,13.43,40.2,352751
1000,47.4,0.030,-120424,0,13.46,40.3,353344
1500,50.0,0.030,-153627,0,13.50,40.3,353886
2000,49.0,0.030,-217929,0,13.53,40.4,354413
2500,49.8,0.030,-260902,0,13.56,40.4,354976
3000,45.8,0.030,-368854,0,13.59,40.4,355576
3500,47.6,0.030,-444017,0,13.61,40.4,356249
4000,48.6,0.030,-517212,0,13.64,40.5,356764
4500,46.0,0.030,-615223,0,13.67,40.5,357289
5000,47.8,0.030,-692974,0,13.71,40.5,357726
5500,48.8,0.030,-764600,0,13.73,40.5,358376
6000,47.2,0.030,-851798,0,13.75,40.6,358870
6500,48.0,0.030,-920214,0,13.78,40.6,359415
7000,55.6,0.030,-854283,0,13.81,40.6,359859
7500,49.8,0.030,-888925,0,13.84,40.6,360385
8000,54.8,0.030,-838930,0,13.86,40.7,360968
8500,51.2,0.030,-855283,0,13.89,40.7,361452
9000,48.6,0.030,-910461,0,13.92,40.7,361998
9500,51.2,0.030,-909023,0,13.96,40.8,362555
10000,45.8,0.030,-1012045,0,13.99,40.8,363076
