Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,42.4,0.222,-178895,0,11.77,37.9,286426
1000,45.8,0.220,-286297,0,11.78,37.9,287666
1500,46.6,0.217,-395983,0,11.79,37.9,288869
2000,45.2,0.215,-526061,0,11.80,38.0,289997
2500,44.6,0.212,-661278,0,11.81,38.0,291297
3000,46.8,0.210,-760167,0,11.82,38.0,292434
3500,49.6,0.207,-820175,0,11.83,38.0,293525
4000,47.8,0.204,-903476,0,11.85,38.0,294702
4500,42.6,0.202,-1084303,0,11.86,38.1,295868
5000,42.8,0.199,-1243262,0,11.87,38.1,297033
5500,46.6,0.196,-1338844,0,11.89,38.1,298069
6000,44.2,0.194,-1484029,0,11.90,38.1,299177
6500,45.0,0.191,-1605228,0,11.91,38.2,300256
7000,47.8,0.188,-1689645,0,11.92,38.2,301238
7500,49.2,0.185,-1761857,0,11.94,38.2,302298
8000,51.2,0.182,-1786713,0,11.95,38.2,303335
8500,48.4,0.179,-1860451,0,11.97,38.3,304278
9000,49.6,0.176,-1907309,0,11.98,38.3,305236
9500,49.2,0.173,-1963522,0,12.00,38.3,306267
10000,49.0,0.169,-2028132,0,12.02,38.3,307130
