Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,53.4,0.097,24410,0,12.43,39.0,325626
1000,49.4,0.094,-25037,0,12.46,39.0,326442
1500,46.2,0.090,-125658,0,12.48,39.1,327218
2000,46.6,0.086,-222036,0,12.50,39.1,327993
2500,45.4,0.082,-350087,0,12.52,39.2,328878
3000,47.6,0.079,-427914,0,12.54,39.2,329675
3500,50.8,0.075,-446312,0,12.57,39.2,330470
4000,50.2,0.072,-470639,0,12.59,39.2,331390
4500,47.6,0.068,-557030,0,12.61,39.2,332112
5000,45.6,0.064,-673649,0,12.63,39.3,332921
5500,47.4,0.060,-745427,0,12.65,39.3,333679
6000,46.4,0.056,-840015,0,12.67,39.3,334472
6500,45.2,0.052,-967908,0,12.69,39.4,335235
7000,53.8,0.048,-935361,0,12.71,39.4,335967
7500,50.4,0.044,-967204,0,12.73,39.4,336727
8000,50.8,0.040,-985413,0,12.76,39.5,337448
8500,48.6,0.035,-1051195,0,12.78,39.5,338095
9000,49.2,0.031,-1105737,0,12.81,39.5,338815
9500,54.8,0.030,-1065270,0,12.84,39.6,339505
10000,47.0,0.030,-1150260,0,12.86,39.6,340150
