Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.2,0.195,20700,0,12.65,39.3,256429
1000,49.2,0.192,21100,0,12.66,39.3,257569
1500,50.2,0.189,67000,0,12.67,39.3,258593
2000,49.2,0.187,85800,0,12.68,39.3,259703
2500,46.0,0.183,-36200,0,12.69,39.3,260663
3000,55.0,0.180,296600,0,12.70,39.4,261629
3500,53.0,0.177,514800,0,12.72,39.4,262592
4000,50.8,0.174,614400,0,12.75,39.4,263419
4500,49.6,0.171,640600,0,12.77,39.5,264432
5000,51.8,0.167,766100,0,12.79,39.5,265342
5500,51.6,0.164,915700,0,12.81,39.5,266257
6000,48.4,0.161,876500,0,12.83,39.6,267222
6500,52.4,0.158,1063100,0,12.84,39.6,268149
7000,53.6,0.154,1312500,0,12.87,39.7,268880
7500,49.8,0.150,1343900,0,12.89,39.7,269828
8000,46.4,0.147,1206200,0,12.91,39.7,270679
8500,48.4,0.144,1180100,0,12.94,39.8,271564
9000,46.4,0.140,1050600,0,12.96,39.8,272452
9500,49.6,0.137,1111300,0,12.98,39.8,273344
10000,49.2,0.133,1136500,0,13.01,39.9,274115
