Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,50.2,0.030,82900,0,14.65,41.7,314768
1000,49.2,0.030,121200,0,14.68,41.8,315248
1500,49.6,0.030,142000,0,14.71,41.8,315678
2000,49.2,0.030,154700,0,14.74,41.8,316283
2500,52.4,0.030,325600,0,14.77,41.9,316800
3000,53.0,0.030,522300,0,14.79,41.9,317314
3500,48.0,0.030,467900,0,14.83,42.0,317804
4000,49.6,0.030,534300,0,14.86,42.0,318306
4500,51.4,0.030,665300,0,14.89,42.0,318812
5000,50.4,0.030,761800,0,14.92,42.0,319344
5500,52.0,0.030,913500,0,14.95,42.1,319842
6000,49.0,0.030,908900,0,14.99,42.1,320206
6500,52.4,0.030,1095400,0,15.02,42.1,320762
7000,43.0,0.030,780700,0,15.04,42.1,321289
7500,52.4,0.030,966400,0,15.08,42.2,321766
8000,46.2,0.030,830600,0,15.11,42.2,322295
8500,48.0,0.030,783500,0,15.14,42.2,322751
9000,52.0,0.030,967100,0,15.17,42.2,323183
9500,46.2,0.030,843900,0,15.21,42.3,323656
10000,52.8,0.030,1042700,0,15.23,42.3,324120
