Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,64.6,0.050,808900,0,14.48,47.9,74851
1000,69.4,0.050,1871700,0,14.58,48.0,75215
1500,71.2,0.050,3032000,0,14.70,48.1,75511
2000,69.8,0.050,4106700,0,14.81,48.2,75867
2500,66.8,0.050,5030600,0,14.94,48.3,76097
3000,67.8,0.050,6003800,0,15.05,48.3,76385
3500,67.4,0.050,6967400,0,15.17,48.4,76620
4000,68.4,0.050,7975200,0,15.29,48.5,76887
4500,66.4,0.050,8880000,0,15.41,48.6,77118
5000,66.8,0.050,9795700,0,15.53,48.7,77401
5500,66.6,0.050,10707200,0,15.64,48.8,77726
6000,64.2,0.050,11499900,0,15.76,48.9,77936
6500,67.2,0.050,12450600,0,15.88,48.9,78234
7000,66.8,0.050,13379600,0,15.99,49.0,78509
7500,70.0,0.050,14467900,0,16.12,49.1,78720
8000,70.0,0.050,15556400,0,16.24,49.1,78940
8500,65.6,0.050,16414200,0,16.36,49.2,79196
9000,63.2,0.050,17151600,0,16.47,49.3,79476
9500,70.8,0.050,18286300,0,16.59,49.4,79679
10000,67.6,0.050,19254400,0,16.69,49.5,79969
