Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,45.4,0.030,-172100,0,16.50,43.2,341416
1000,50.8,0.030,-101100,0,16.52,43.2,341841
1500,44.2,0.030,-341700,0,16.55,43.2,342262
2000,51.8,0.030,-203800,0,16.58,43.2,342622
2500,47.6,0.030,-300500,0,16.61,43.3,343011
3000,51.4,0.030,-167100,0,16.63,43.3,343457
3500,48.8,0.030,-160900,0,16.66,43.3,343857
4000,47.4,0.030,-237200,0,16.69,43.3,344266
4500,50.6,0.030,-150700,0,16.72,43.3,344663
5000,48.6,0.030,-184700,0,16.75,43.4,345034
5500,47.0,0.030,-281900,0,16.77,43.4,345414
6000,50.6,0.030,-197300,0,16.80,43.4,345776
6500,50.0,0.030,-146400,0,16.83,43.4,346149
7000,52.2,0.030,21200,0,16.85,43.4,346563
7500,47.4,0.030,-34200,0,16.88,43.5,346945
8000,53.4,0.030,190800,0,16.91,43.5,347314
8500,53.6,0.030,434900,0,16.94,43.5,347682
9000,48.6,0.030,438000,0,16.97,43.5,348131
