Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.6,0.303,4600,0,12.22,38.4,211456
1000,49.8,0.301,22900,0,12.22,38.4,212782
1500,54.6,0.298,318800,0,12.22,38.4,214215
2000,50.4,0.296,381500,0,12.23,38.4,215352
2500,51.2,0.293,485500,0,12.24,38.4,216501
3000,51.4,0.291,609300,0,12.24,38.4,217775
3500,52.6,0.289,811200,0,12.25,38.4,219082
4000,50.0,0.286,901100,0,12.26,38.5,220317
4500,51.4,0.284,1015700,0,12.26,38.5,221494
5000,53.8,0.281,1248200,0,12.26,38.5,222695
5500,50.8,0.279,1350100,0,12.27,38.5,223955
6000,55.8,0.276,1708500,0,12.28,38.5,225107
6500,53.0,0.273,1917800,0,12.29,38.6,226200
7000,49.6,0.271,1972200,0,12.29,38.6,227465
7500,52.8,0.268,2165400,0,12.29,38.6,228680
8000,54.2,0.266,2425800,0,12.31,38.6,229823
8500,51.2,0.263,2530400,0,12.32,38.6,231015
9000,50.6,0.260,2590600,0,12.34,38.7,232055
9500,48.2,0.258,2572100,0,12.34,38.7,233217
10000,53.6,0.255,2833900,0,12.36,38.7,234241
