Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,76.2,0.395,505574,0
1000,68.6,0.388,860367,0
1500,65.2,0.380,1142227,0
2000,66.4,0.373,1436894,0
2500,64.4,0.365,1693697,0
3000,66.0,0.358,1969598,0
3500,60.0,0.350,2133490,0
4000,62.4,0.343,2338896,0
4500,64.0,0.335,2569375,0
5000,64.8,0.328,2819608,0
5500,63.8,0.320,3042119,0
6000,62.0,0.313,3236695,0
6500,61.6,0.305,3425630,0
7000,59.4,0.298,3566284,0
7500,60.2,0.290,3729107,0
8000,59.2,0.283,3871683,0
8500,61.8,0.275,4052984,0
9000,59.6,0.268,4200865,0
9500,64.4,0.260,4445190,0
10000,59.4,0.253,4593238,0
