Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,47.0,0.037,-116454,0,10.35,36.5
1000,47.6,0.034,-197973,0,10.38,36.5
1500,50.6,0.031,-207921,0,10.40,36.6
2000,52.6,0.030,-220291,0,10.43,36.6
2500,55.2,0.030,-170448,0,10.46,36.6
3000,52.8,0.030,-171474,0,10.50,36.7
3500,48.8,0.030,-279506,0,10.53,36.7
4000,50.0,0.030,-303344,0,10.55,36.7
4500,49.6,0.030,-360849,0,10.58,36.8
5000,50.0,0.030,-386217,0,10.61,36.8
5500,49.4,0.030,-462458,0,10.65,36.9
6000,52.4,0.030,-444256,0,10.67,36.9
6500,43.0,0.030,-603762,0,10.70,36.9
7000,49.6,0.030,-633084,0,10.73,37.0
7500,47.8,0.030,-716479,0,10.76,37.0
8000,51.4,0.030,-705223,0,10.79,37.1
8500,49.6,0.030,-734188,0,10.81,37.1
9000,47.6,0.030,-814261,0,10.85,37.1
9500,50.4,0.030,-844359,0,10.88,37.2
10000,50.4,0.030,-873101,0,10.90,37.2
