Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,63.8,0.095,242891,0,9.04,40.9
1000,65.8,0.088,504415,0,9.18,41.1
1500,63.4,0.080,732566,0,9.30,41.3
2000,60.6,0.073,905993,0,9.43,41.4
2500,63.6,0.065,1134152,0,9.57,41.5
3000,66.2,0.058,1411684,0,9.70,41.7
3500,62.6,0.050,1629332,0,9.83,41.8
4000,63.2,0.050,1855799,0,9.96,41.9
4500,66.6,0.050,2153112,0,10.09,42.0
5000,67.2,0.050,2455873,0,10.21,42.2
5500,70.6,0.050,2816739,0,10.33,42.3
6000,61.8,0.050,3018355,0,10.46,42.4
6500,66.6,0.050,3307117,0,10.59,42.5
7000,68.0,0.050,3617512,0,10.70,42.6
7500,66.4,0.050,3909831,0,10.82,42.7
8000,63.8,0.050,4160857,0,10.94,42.8
8500,69.2,0.050,4498644,0,11.07,43.0
9000,67.0,0.050,4799983,0,11.19,43.1
9500,63.4,0.050,5028311,0,11.31,43.1
10000,67.6,0.050,5339445,0,11.44,43.2
