Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,48.0,0.297,-73829,0,11.51,37.9
1000,47.6,0.294,-156514,0,11.48,37.8
1500,49.6,0.291,-196235,0,11.46,37.8
2000,48.6,0.288,-250256,0,11.44,37.8
2500,51.0,0.285,-274470,0,11.41,37.7
3000,46.0,0.282,-381871,0,11.39,37.7
3500,47.6,0.279,-473207,0,11.37,37.6
4000,52.6,0.276,-464078,0,11.35,37.6
4500,49.2,0.273,-511847,0,11.33,37.6
5000,45.8,0.270,-632983,0,11.31,37.5
5500,54.0,0.267,-606200,0,11.29,37.5
6000,47.4,0.264,-688585,0,11.27,37.5
6500,47.2,0.261,-764120,0,11.26,37.5
7000,44.2,0.258,-913691,0,11.24,37.4
7500,48.8,0.255,-1022789,0,11.23,37.4
8000,52.4,0.252,-1022939,0,11.22,37.4
8500,48.0,0.249,-1100452,0,11.21,37.4
9000,47.2,0.246,-1186117,0,11.20,37.4
9500,52.0,0.243,-1182134,0,11.18,37.3
10000,50.6,0.240,-1201275,0,11.17,37.3
