Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,45.0,0.217,-119847,0,9.10,34.1
1000,44.8,0.214,-281624,0,9.12,34.2
1500,45.6,0.211,-402683,0,9.13,34.2
2000,46.8,0.208,-481592,0,9.14,34.2
2500,48.0,0.205,-603981,0,9.16,34.3
3000,46.2,0.202,-713687,0,9.17,34.3
3500,44.0,0.199,-864521,0,9.19,34.3
4000,43.0,0.196,-1030045,0,9.20,34.4
4500,45.2,0.193,-1159589,0,9.22,34.4
5000,45.6,0.190,-1259840,0,9.23,34.5
5500,49.2,0.187,-1317673,0,9.24,34.5
6000,46.2,0.184,-1427488,0,9.26,34.6
6500,48.8,0.181,-1483613,0,9.27,34.6
7000,45.4,0.178,-1601729,0,9.28,34.6
7500,42.4,0.175,-1794495,0,9.31,34.7
8000,49.4,0.172,-1826013,0,9.32,34.7
8500,46.4,0.169,-1963793,0,9.34,34.7
9000,49.4,0.166,-2031646,0,9.36,34.8
9500,49.8,0.163,-2072684,0,9.38,34.8
10000,48.2,0.160,-2144767,0,9.40,34.9
