Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,45.0,0.030,-114178,0,10.93,37.2
1000,50.2,0.030,-153053,0,10.97,37.3
1500,50.0,0.030,-184976,0,11.00,37.3
2000,55.2,0.030,-129232,0,11.03,37.4
2500,47.8,0.030,-183003,0,11.06,37.4
3000,50.6,0.030,-184640,0,11.08,37.4
3500,48.2,0.030,-222594,0,11.11,37.5
4000,49.4,0.030,-310193,0,11.15,37.5
4500,53.0,0.030,-271635,0,11.18,37.5
5000,49.2,0.030,-307893,0,11.20,37.6
5500,54.2,0.030,-260970,0,11.24,37.6
6000,52.2,0.030,-278836,0,11.27,37.6
6500,51.8,0.030,-294318,0,11.30,37.7
7000,47.0,0.030,-382369,0,11.33,37.7
7500,48.0,0.030,-447643,0,11.37,37.7
8000,50.6,0.030,-483554,0,11.39,37.8
8500,50.8,0.030,-504477,0,11.43,37.8
9000,47.2,0.030,-610500,0,11.46,37.9
9500,50.4,0.030,-719293,0,11.50,37.9
10000,48.8,0.030,-788946,0,11.53,37.9
