Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,47.6,0.097,-67563,0,9.87,35.7
1000,52.4,0.094,-70245,0,9.89,35.7
1500,45.2,0.091,-191316,0,9.90,35.8
2000,47.6,0.088,-266314,0,9.93,35.8
2500,46.2,0.085,-374002,0,9.94,35.8
3000,48.4,0.082,-432803,0,9.96,35.9
3500,47.8,0.079,-559476,0,10.00,35.9
4000,46.6,0.076,-673500,0,10.03,36.0
4500,46.6,0.073,-783345,0,10.05,36.0
5000,46.6,0.070,-883297,0,10.07,36.0
5500,43.8,0.067,-1032822,0,10.10,36.1
6000,49.4,0.064,-1081952,0,10.12,36.1
6500,48.6,0.061,-1163356,0,10.14,36.2
7000,46.0,0.058,-1273421,0,10.17,36.2
7500,48.4,0.055,-1375132,0,10.20,36.2
8000,52.4,0.052,-1395583,0,10.23,36.3
8500,48.8,0.049,-1450048,0,10.25,36.3
9000,45.6,0.046,-1546033,0,10.28,36.4
9500,47.4,0.043,-1642696,0,10.30,36.4
10000,47.4,0.040,-1692313,0,10.32,36.4
