Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,49.8,0.337,-52159,0,9.52,34.1
1000,44.4,0.334,-184049,0,9.45,34.0
1500,45.2,0.331,-315451,0,9.40,33.9
2000,46.0,0.328,-433109,0,9.35,33.8
2500,45.8,0.325,-540427,0,9.31,33.8
3000,41.4,0.322,-726777,0,9.26,33.7
3500,45.0,0.319,-843475,0,9.22,33.7
4000,45.6,0.316,-973872,0,9.20,33.6
4500,49.6,0.313,-1007637,0,9.16,33.6
5000,43.6,0.310,-1145454,0,9.14,33.6
5500,44.8,0.307,-1274375,0,9.11,33.6
6000,41.6,0.304,-1465319,0,9.09,33.6
6500,44.0,0.301,-1640043,0,9.07,33.6
7000,42.0,0.298,-1817756,0,9.05,33.6
7500,45.8,0.295,-1931205,0,9.05,33.6
8000,41.0,0.292,-2154063,0,9.04,33.6
8500,44.6,0.289,-2318531,0,9.03,33.6
9000,42.8,0.286,-2485656,0,9.02,33.5
9500,39.8,0.283,-2724059,0,9.01,33.5
10000,48.0,0.280,-2811917,0,9.02,33.5
