Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,63.4,0.245,227553,0
1000,64.4,0.238,467310,0
1500,59.8,0.230,627268,0
2000,61.6,0.223,820559,0
2500,62.8,0.215,1021901,0
3000,61.4,0.208,1207698,0
3500,59.8,0.200,1356106,0
4000,59.8,0.193,1510962,0
4500,62.2,0.185,1701781,0
5000,58.4,0.178,1833615,0
5500,62.2,0.170,2034343,0
6000,64.0,0.163,2266734,0
6500,59.2,0.155,2403619,0
7000,61.0,0.148,2591423,0
7500,65.2,0.140,2849937,0
8000,64.4,0.133,3095750,0
8500,64.0,0.125,3328895,0
9000,60.2,0.118,3500164,0
9500,65.4,0.110,3772445,0
10000,62.2,0.103,3978564,0
