Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,43.8,0.277,-198765,0,9.02,33.6
1000,42.4,0.274,-365740,0,9.02,33.6
1500,48.2,0.271,-447325,0,9.01,33.6
2000,48.8,0.268,-534917,0,9.02,33.6
2500,46.4,0.265,-653165,0,9.02,33.6
3000,42.6,0.262,-827806,0,9.02,33.7
3500,45.6,0.259,-939088,0,9.02,33.7
4000,45.2,0.256,-1044206,0,9.02,33.7
4500,51.4,0.253,-1087284,0,9.03,33.7
5000,44.8,0.250,-1233042,0,9.03,33.8
5500,45.8,0.247,-1340395,0,9.03,33.8
6000,45.2,0.244,-1487831,0,9.04,33.8
6500,43.4,0.241,-1677119,0,9.05,33.8
7000,45.6,0.238,-1821191,0,9.07,33.9
7500,47.8,0.235,-1883377,0,9.07,33.9
8000,49.2,0.232,-1977166,0,9.08,34.0
8500,48.6,0.229,-2038412,0,9.08,34.0
9000,43.2,0.226,-2206121,0,9.09,34.0
9500,48.8,0.223,-2251666,0,9.09,34.0
10000,48.4,0.220,-2312793,0,9.09,34.1
