Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,66.2,0.050,279770,0,11.56,43.3
1000,65.2,0.050,550063,0,11.69,43.5
1500,68.0,0.050,863125,0,11.81,43.5
2000,66.4,0.050,1151451,0,11.93,43.6
2500,69.4,0.050,1495735,0,12.06,43.7
3000,64.6,0.050,1750722,0,12.18,43.8
3500,65.6,0.050,2026503,0,12.30,43.9
4000,64.2,0.050,2271130,0,12.42,44.0
4500,65.6,0.050,2543136,0,12.55,44.1
5000,66.4,0.050,2828571,0,12.67,44.2
5500,65.0,0.050,3098361,0,12.79,44.3
6000,66.4,0.050,3391348,0,12.91,44.4
6500,66.0,0.050,3680099,0,13.04,44.5
7000,68.2,0.050,4000493,0,13.16,44.7
7500,66.2,0.050,4294287,0,13.28,44.8
8000,68.0,0.050,4613564,0,13.39,44.8
8500,66.6,0.050,4909739,0,13.51,44.9
9000,67.4,0.050,5216205,0,13.63,45.0
9500,61.4,0.050,5407500,0,13.74,45.1
10000,68.6,0.050,5738611,0,13.85,45.1
