Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,48.4,0.157,-47736,0,9.42,34.9
1000,46.0,0.154,-152974,0,9.44,35.0
1500,48.2,0.151,-209621,0,9.46,35.0
2000,47.8,0.148,-351910,0,9.49,35.0
2500,44.6,0.145,-484431,0,9.50,35.0
3000,48.6,0.142,-585844,0,9.52,35.1
3500,46.0,0.139,-701525,0,9.55,35.1
4000,50.2,0.136,-763231,0,9.57,35.2
4500,46.8,0.133,-859234,0,9.59,35.2
5000,50.2,0.130,-925396,0,9.61,35.2
5500,44.8,0.127,-1092101,0,9.64,35.3
6000,47.0,0.124,-1191228,0,9.66,35.3
6500,47.2,0.121,-1269903,0,9.69,35.4
7000,45.6,0.118,-1395630,0,9.71,35.4
7500,50.0,0.115,-1411444,0,9.73,35.5
8000,46.8,0.112,-1597860,0,9.77,35.5
8500,50.0,0.109,-1621223,0,9.79,35.5
9000,48.4,0.106,-1661106,0,9.81,35.6
9500,50.6,0.103,-1676407,0,9.83,35.6
10000,45.0,0.100,-1781852,0,9.84,35.7
