Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,76.0,0.399,1407300,0,1.96,18.0,6614
1000,72.2,0.397,2609800,0,2.35,21.9,10849
1500,70.0,0.395,3696400,0,2.66,23.9,14352
2000,71.2,0.392,4847100,0,2.98,26.0,17270
2500,69.8,0.389,5920900,0,3.26,27.8,19850
3000,67.4,0.386,6870000,0,3.52,29.0,22147
3500,67.8,0.383,7838100,0,3.77,30.2,24203
4000,70.2,0.379,8934100,0,3.98,31.2,26193
4500,66.0,0.375,9803600,0,4.18,31.9,28117
5000,67.4,0.371,10754300,0,4.40,32.7,29828
5500,71.4,0.366,11924100,0,4.58,33.3,31540
6000,69.6,0.361,13006400,0,4.77,34.2,32956
6500,67.8,0.355,13985200,0,4.97,34.8,34306
7000,64.8,0.350,14796700,0,5.15,35.5,35662
7500,65.6,0.344,15645800,0,5.34,36.0,37010
8000,69.2,0.338,16700200,0,5.51,36.5,38169
8500,68.6,0.331,17711100,0,5.68,36.9,39316
9000,63.4,0.325,18451700,0,5.85,37.3,40467
9500,66.8,0.318,19366000,0,6.03,37.6,41559
10000,67.6,0.311,20315000,0,6.19,37.9,42677
