Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,64.8,0.304,818100,0,6.37,38.3,43670
1000,64.4,0.296,1599300,0,6.52,38.7,44654
1500,61.2,0.288,2213900,0,6.71,39.1,45620
2000,65.0,0.280,3032600,0,6.86,39.4,46575
2500,67.2,0.272,3971600,0,7.01,39.7,47492
3000,65.6,0.263,4819300,0,7.17,40.0,48289
3500,63.2,0.253,5558700,0,7.32,40.3,49103
4000,60.8,0.244,6156900,0,7.47,40.6,49924
4500,65.8,0.235,7018600,0,7.63,40.8,50692
5000,68.0,0.226,8001800,0,7.77,41.1,51535
5500,61.4,0.215,8632100,0,7.92,41.3,52243
6000,64.2,0.204,9415700,0,8.08,41.6,52891
6500,66.0,0.194,10280700,0,8.22,41.9,53646
7000,65.0,0.184,11102400,0,8.35,42.1,54458
7500,67.2,0.174,12044200,0,8.49,42.2,55161
8000,70.8,0.163,13173600,0,8.63,42.4,55855
8500,68.8,0.151,14198900,0,8.77,42.6,56481
9000,65.6,0.139,15057900,0,8.91,42.8,57111
9500,68.8,0.126,16078500,0,9.06,43.0,57678
10000,66.8,0.112,16992300,0,9.20,43.2,58207
