Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,68.2,0.050,994800,0,11.99,46.0,68252
1000,64.6,0.050,1800200,0,12.12,46.1,68666
1500,63.4,0.050,2543000,0,12.25,46.2,69006
2000,64.2,0.050,3331600,0,12.38,46.4,69364
2500,66.4,0.050,4225900,0,12.51,46.5,69734
3000,68.0,0.050,5208000,0,12.64,46.6,70060
3500,64.8,0.050,6021400,0,12.77,46.7,70396
4000,65.4,0.050,6871600,0,12.89,46.8,70783
4500,65.4,0.050,7716800,0,13.03,46.9,71078
5000,67.6,0.050,8680600,0,13.15,47.0,71424
5500,66.8,0.050,9593400,0,13.28,47.1,71767
6000,65.4,0.050,10435800,0,13.42,47.2,72029
6500,67.4,0.050,11391800,0,13.54,47.3,72362
7000,66.8,0.050,12310500,0,13.66,47.4,72691
7500,66.2,0.050,13193400,0,13.79,47.6,73018
8000,68.8,0.050,14224500,0,13.91,47.6,73396
8500,66.2,0.050,15119600,0,14.03,47.7,73725
9000,61.6,0.050,15768000,0,14.14,47.7,74064
9500,65.4,0.050,16613600,0,14.27,47.8,74401
10000,67.8,0.050,17586500,0,14.40,47.9,74713
