Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,47.2,0.030,-70800,0,16.62,43.7,359849
1000,54.8,0.030,224000,0,16.65,43.7,360286
1500,52.8,0.030,418400,0,16.68,43.7,360668
2000,47.2,0.030,358200,0,16.70,43.7,361076
2500,52.8,0.030,576300,0,16.74,43.8,361457
3000,52.8,0.030,827900,0,16.77,43.8,361886
3500,49.8,0.030,910300,0,16.80,43.8,362242
4000,51.4,0.030,1055800,0,16.83,43.8,362656
4500,50.8,0.030,1177400,0,16.85,43.8,363049
5000,50.4,0.030,1296700,0,16.88,43.9,363469
5500,54.0,0.030,1602900,0,16.91,43.9,363841
6000,50.0,0.030,1657900,0,16.94,43.9,364271
6500,51.8,0.030,1873600,0,16.98,43.9,364610
7000,50.6,0.030,1972400,0,17.00,43.9,365000
7500,50.6,0.030,2072800,0,17.03,44.0,365406
8000,50.6,0.030,2151800,0,17.06,44.0,365748
8500,52.0,0.030,2298400,0,17.09,44.0,366129
9000,50.2,0.030,2397300,0,17.11,44.0,366515
9500,49.4,0.030,2439200,0,17.14,44.0,366904
10000,51.4,0.030,2555800,0,17.17,44.1,367322
