Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.8,0.030,21800,0,17.77,44.4,375014
1000,53.0,0.030,253800,0,17.79,44.4,375394
1500,49.0,0.030,249200,0,17.82,44.4,375763
2000,49.8,0.030,331800,0,17.86,44.5,376090
2500,52.8,0.030,566000,0,17.88,44.5,376364
3000,52.4,0.030,799900,0,17.92,44.5,376726
3500,50.0,0.030,855100,0,17.94,44.5,377074
4000,51.8,0.030,1036400,0,17.97,44.5,377455
4500,53.2,0.030,1295300,0,18.00,44.6,377842
5000,50.6,0.030,1399500,0,18.02,44.6,378245
5500,49.8,0.030,1463900,0,18.05,44.6,378546
6000,48.8,0.030,1482500,0,18.08,44.6,378880
6500,52.0,0.030,1636500,0,18.10,44.6,379274
7000,48.0,0.030,1591300,0,18.13,44.7,379671
7500,52.2,0.030,1746400,0,18.16,44.7,380036
8000,52.2,0.030,1922200,0,18.19,44.7,380418
8500,48.0,0.030,1906700,0,18.21,44.7,380763
9000,50.4,0.030,1990800,0,18.24,44.7,381091
9500,50.0,0.030,2065300,0,18.27,44.7,381405
10000,53.6,0.030,2345300,0,18.30,44.8,381716
