Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.6,0.030,38300,0,17.20,44.1,367734
1000,52.4,0.030,226500,0,17.23,44.1,368105
1500,47.8,0.030,167200,0,17.26,44.1,368471
2000,53.0,0.030,390000,0,17.29,44.1,368833
2500,54.2,0.030,676300,0,17.32,44.2,369228
3000,51.2,0.030,819100,0,17.34,44.2,369611
3500,51.0,0.030,945600,0,17.37,44.2,369993
4000,50.2,0.030,1025000,0,17.39,44.2,370352
4500,53.0,0.030,1241500,0,17.42,44.2,370764
5000,55.2,0.030,1559500,0,17.44,44.2,371103
5500,53.8,0.030,1850500,0,17.47,44.2,371436
6000,48.6,0.030,1842000,0,17.50,44.3,371793
6500,55.4,0.030,2173700,0,17.53,44.3,372137
7000,52.0,0.030,2374000,0,17.56,44.3,372502
7500,50.8,0.030,2463800,0,17.59,44.3,372860
8000,55.0,0.030,2783200,0,17.62,44.3,373198
8500,52.8,0.030,2963400,0,17.65,44.3,373569
9000,47.6,0.030,2923500,0,17.67,44.4,373994
9500,51.6,0.030,3069500,0,17.70,44.4,374379
10000,52.6,0.030,3278400,0,17.74,44.4,374663
