Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.6,0.200,24000,0,12.33,39.1,264514
1000,49.2,0.197,46700,0,12.36,39.2,265486
1500,49.0,0.194,66500,0,12.38,39.2,266494
2000,49.6,0.190,95900,0,12.39,39.2,267382
2500,50.0,0.187,158600,0,12.41,39.3,268303
3000,52.2,0.184,328300,0,12.44,39.3,269228
3500,49.0,0.181,323800,0,12.46,39.4,270170
4000,47.2,0.177,220400,0,12.48,39.4,271113
4500,44.4,0.174,-49100,0,12.49,39.4,272040
5000,45.2,0.171,-231900,0,12.51,39.4,272876
5500,49.8,0.167,-199300,0,12.53,39.5,273773
6000,47.8,0.164,-277900,0,12.54,39.5,274727
6500,50.4,0.161,-216400,0,12.56,39.5,275570
7000,48.0,0.157,-275400,0,12.58,39.5,276535
7500,47.0,0.154,-378500,0,12.59,39.6,277555
8000,53.0,0.151,-145500,0,12.61,39.6,278469
8500,52.2,0.148,83600,0,12.63,39.6,279327
9000,49.4,0.144,97200,0,12.65,39.7,280226
9500,52.6,0.141,288800,0,12.66,39.7,281238
10000,50.2,0.138,367300,0,12.68,39.8,282121
