Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,49.90,499,501,1328762,0.2130,58.81,0.082071,0.926,0.0139,106.7,59802,-197,0,0.41,2.87,30.8,0,522390,77
2000,51.60,516,484,1331280,0.2123,58.88,0.080728,0.830,0.0083,106.6,60030,-166,0,0.44,2.87,31.1,0,523398,158
3000,50.00,500,500,1333812,0.2116,58.94,0.078692,0.659,0.0079,106.4,60255,-205,0,0.41,2.83,32.1,0,524408,240
4000,52.60,526,474,1336126,0.2109,59.00,0.077247,0.617,0.0077,106.4,60465,-130,0,0.45,2.82,29.9,0,525333,320
5000,49.80,498,502,1338874,0.2102,59.06,0.084191,0.377,0.0080,106.2,60690,-210,0,0.41,2.75,32.6,0,526430,403
6000,50.10,501,499,1341431,0.2096,59.13,0.082084,0.659,0.0075,106.2,60917,-203,0,0.42,2.76,31.1,0,527449,485
7000,50.30,503,497,1343947,0.2089,59.18,0.079696,0.438,0.0075,106.1,61126,-195,0,0.46,2.80,31.5,0,528452,567
8000,48.90,489,511,1346609,0.2082,59.25,0.085810,0.442,0.0071,106.1,61371,-224,0,0.41,2.80,31.0,0,529514,650
9000,52.30,523,477,1349096,0.2075,59.30,0.080171,0.536,0.0073,106.1,61572,-142,0,0.41,2.85,31.0,0,530508,730
10000,51.90,519,481,1351517,0.2068,59.37,0.078816,0.467,0.0074,106.1,61810,-156,0,0.41,2.83,30.6,0,531474,812
