Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,42.40,424,576,574206,0.3579,32.15,0.212082,5.376,0.0121,26.9,10647,-417,0,0.41,2.49,29.1,0,221629,70
2000,45.40,454,546,579985,0.3572,32.43,0.199200,5.004,0.0114,27.7,10871,-334,0,0.41,2.62,29.0,0,223922,141
3000,42.10,421,579,585742,0.3565,32.68,0.200299,4.281,0.0109,28.4,11091,-429,0,0.41,2.62,28.7,0,226212,213
4000,41.60,416,584,591558,0.3558,32.94,0.200007,4.003,0.0101,28.9,11326,-438,0,0.42,2.52,29.0,0,228526,286
5000,45.20,452,548,597384,0.3551,33.20,0.200938,3.876,0.0115,29.9,11554,-346,0,0.41,2.65,29.0,0,230845,358
6000,43.20,432,568,602795,0.3545,33.48,0.189328,4.317,0.0116,30.7,11795,-409,0,0.46,2.53,28.6,0,232999,429
7000,46.60,466,534,608343,0.3538,33.73,0.191568,4.528,0.0130,31.8,12014,-316,0,0.46,2.62,28.9,0,235207,502
8000,45.30,453,547,613857,0.3531,33.96,0.188758,4.246,0.0122,32.5,12209,-348,0,0.41,2.58,29.2,0,237403,577
9000,44.80,448,552,619575,0.3524,34.24,0.192085,4.036,0.0129,33.3,12471,-364,0,0.41,2.52,29.7,0,239681,650
10000,42.50,425,575,624948,0.3517,34.50,0.181901,4.327,0.0140,34.0,12714,-421,0,0.41,2.56,29.5,0,241823,726
