Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,32.20,322,678,561814,0.3648,27.01,0.242626,4.957,0.0037,9.4,8241,-688,0,1.28,2.65,31.3,0,218504,137
2000,31.50,315,685,569503,0.3641,27.29,0.243701,4.542,0.0036,9.4,8480,-704,0,1.30,2.60,31.5,0,221631,274
3000,30.50,305,695,577100,0.3634,27.55,0.237028,4.082,0.0030,9.4,8689,-722,0,1.28,2.65,32.0,0,224707,415
4000,29.60,296,704,584398,0.3627,27.83,0.233813,4.464,0.0037,9.5,8929,-753,0,1.33,2.64,31.2,0,227674,553
5000,30.80,308,692,591499,0.3620,28.15,0.221989,4.453,0.0035,9.6,9176,-714,0,1.27,2.67,31.9,0,230564,694
6000,34.40,344,656,598872,0.3614,28.41,0.232528,4.586,0.0037,9.8,9391,-637,0,1.28,2.68,31.7,0,233559,835
7000,33.10,331,669,605916,0.3607,28.68,0.228064,4.183,0.0033,9.8,9625,-665,0,1.36,2.67,30.8,0,236411,974
8000,33.10,331,669,613345,0.3600,29.04,0.212847,3.978,0.0030,9.8,9857,-663,0,1.26,2.58,31.7,0,239425,1120
9000,31.00,310,690,620426,0.3593,29.31,0.219036,3.658,0.0033,9.8,10107,-717,0,1.36,2.65,32.3,0,242296,1265
10000,31.60,316,684,627494,0.3586,29.58,0.222180,3.622,0.0035,9.9,10357,-704,0,1.28,2.72,31.8,0,245182,1409
