Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,28.20,282,718,634387,0.3579,29.81,0.218860,3.621,0.0035,9.9,10576,-778,0,1.30,2.75,31.5,0,247991,135
2000,31.20,312,688,641530,0.3572,30.03,0.227571,3.875,0.0033,10.0,10791,-703,0,1.29,2.70,31.3,0,250901,273
3000,32.10,321,679,648343,0.3565,30.27,0.219512,3.421,0.0036,10.2,11030,-689,0,1.30,2.69,31.0,0,253674,413
4000,29.80,298,702,655354,0.3558,30.51,0.222494,3.603,0.0031,10.3,11269,-737,0,1.33,2.69,31.5,0,256531,553
5000,32.70,327,673,662141,0.3551,30.75,0.217170,3.318,0.0033,10.4,11525,-670,0,1.34,2.67,31.2,0,259294,694
6000,33.00,330,670,668760,0.3545,30.97,0.215420,3.245,0.0034,10.6,11753,-663,0,1.35,2.76,30.7,0,261982,833
7000,34.00,340,660,675739,0.3538,31.15,0.228445,2.389,0.0035,10.8,11972,-628,0,1.37,2.74,30.5,0,264811,970
8000,35.50,355,645,682631,0.3531,31.36,0.218509,3.020,0.0032,10.9,12218,-604,0,1.29,2.68,31.5,0,267622,1113
9000,32.50,325,675,689205,0.3524,31.60,0.209945,2.869,0.0032,11.0,12469,-670,0,1.31,2.66,31.3,0,270298,1256
10000,32.00,320,680,695897,0.3517,31.83,0.211184,3.073,0.0030,11.0,12704,-678,0,1.30,2.67,31.6,0,273025,1399
