Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,59.80,598,402,1685215,0.0760,67.51,0.053090,1.353,0.0114,117.8,97718,57,0,0.43,2.86,31.2,0,664807,80
2000,55.80,558,442,1686892,0.0751,67.55,0.053426,0.248,0.0037,117.7,97928,-41,0,0.41,2.88,31.3,0,665476,164
3000,57.00,570,430,1688579,0.0743,67.59,0.054222,0.381,0.0039,117.6,98139,-16,0,0.41,2.95,31.1,0,666151,249
4000,54.50,545,455,1690315,0.0735,67.62,0.056463,0.529,0.0038,117.4,98338,-78,0,0.45,2.81,30.7,0,666844,334
5000,56.90,569,431,1691923,0.0727,67.65,0.051893,0.328,0.0037,117.4,98524,-17,0,0.41,2.81,30.9,0,667486,418
6000,60.30,603,397,1693576,0.0718,67.69,0.051988,0.390,0.0040,117.4,98740,72,0,0.41,2.97,31.8,0,668147,504
7000,57.60,576,424,1695203,0.0710,67.73,0.052027,0.298,0.0035,117.3,98960,8,0,0.41,2.91,31.2,0,668799,589
8000,57.10,571,429,1696806,0.0701,67.76,0.049922,0.425,0.0038,117.2,99154,-9,0,0.41,2.92,32.0,0,669442,675
9000,56.30,563,437,1698376,0.0692,67.80,0.049881,0.331,0.0036,117.1,99357,-28,0,0.41,2.84,31.4,0,670070,762
10000,57.20,572,428,1699942,0.0684,67.83,0.050683,0.398,0.0038,117.1,99532,-1,0,0.41,2.88,30.8,0,670696,848
