Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,61.60,616,384,1670738,0.0500,69.80,0.044089,0.874,0.0135,124.4,104887,112,0,0.74,2.99,30.3,0,658758,87
2000,60.10,601,399,1672199,0.0500,69.83,0.047094,0.166,0.0034,124.3,105073,65,0,0.74,2.89,31.0,0,659341,180
3000,64.60,646,354,1673653,0.0500,69.86,0.045910,0.218,0.0038,124.2,105276,177,0,0.77,2.91,31.6,0,659924,275
4000,61.90,619,381,1675033,0.0500,69.90,0.044919,0.308,0.0036,124.1,105485,113,0,0.75,2.96,30.7,0,660476,369
5000,61.10,611,389,1676349,0.0500,69.93,0.042715,0.470,0.0041,124.0,105690,91,0,0.74,2.81,30.8,0,661002,463
6000,59.00,590,410,1677680,0.0500,69.97,0.042150,0.136,0.0036,123.9,105887,45,0,0.74,2.87,31.5,0,661536,558
7000,61.50,615,385,1679082,0.0500,70.00,0.044880,0.471,0.0037,123.7,106084,103,0,0.74,2.97,30.9,0,662098,652
8000,59.90,599,401,1680415,0.0500,70.03,0.043769,0.387,0.0034,123.7,106270,65,0,0.75,2.91,30.4,0,662633,747
9000,60.10,601,399,1681804,0.0500,70.07,0.043064,0.417,0.0034,123.6,106495,61,1,0.73,2.91,32.2,1,663187,842
10000,61.70,617,383,1683061,0.0500,70.10,0.040521,0.267,0.0035,123.4,106677,115,0,0.73,2.92,31.0,0,663688,936
