Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,53.30,533,467,1549334,0.1421,64.21,0.062632,0.715,0.0124,114.5,81486,-115,0,0.41,2.73,31.2,0,610482,80
2000,55.80,558,442,1551136,0.1413,64.25,0.058484,0.396,0.0057,114.4,81690,-44,0,0.44,2.87,30.8,0,611204,163
3000,53.30,533,467,1553226,0.1407,64.29,0.065653,0.367,0.0053,114.2,81887,-114,0,0.41,2.83,31.8,0,612039,247
4000,55.00,550,450,1555060,0.1399,64.34,0.059697,0.468,0.0057,114.1,82105,-63,0,0.41,2.85,30.7,0,612773,329
5000,54.80,548,452,1556891,0.1391,64.38,0.060147,0.506,0.0053,114.0,82286,-73,0,0.46,2.84,30.4,0,613503,411
6000,54.70,547,453,1558744,0.1384,64.43,0.059863,0.359,0.0053,113.8,82498,-76,0,0.46,2.85,30.9,0,614242,496
7000,55.20,552,448,1560679,0.1377,64.47,0.063988,0.295,0.0053,113.7,82681,-61,0,0.41,2.87,30.2,0,615016,576
8000,56.30,563,437,1562534,0.1369,64.51,0.061163,0.554,0.0049,113.7,82885,-37,0,0.42,2.84,30.3,0,615758,662
9000,56.50,565,435,1564285,0.1362,64.56,0.057497,0.268,0.0054,113.8,83093,-29,0,0.42,2.91,30.4,0,616458,743
10000,54.70,547,453,1566222,0.1354,64.61,0.063014,0.384,0.0050,113.8,83315,-67,0,0.41,2.84,30.7,0,617231,828
