Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,57.40,574,426,1198880,0.2475,55.24,0.086905,0.793,0.0146,97.2,48583,-3,0,0.63,2.86,31.3,0,470547,116
2000,61.20,612,388,1201622,0.2468,55.32,0.088838,0.673,0.0092,97.4,48818,94,0,0.63,2.88,30.8,0,471643,237
3000,59.30,593,407,1204086,0.2461,55.40,0.080344,0.634,0.0093,97.8,49042,45,0,0.67,2.83,30.6,0,472627,361
4000,58.70,587,413,1206673,0.2454,55.48,0.084059,0.807,0.0093,98.0,49278,26,0,0.64,2.87,30.7,0,473660,482
5000,59.30,593,407,1209268,0.2447,55.57,0.085740,0.756,0.0100,98.2,49498,45,0,0.69,2.83,30.2,0,474696,604
6000,60.10,601,399,1211891,0.2441,55.65,0.083159,0.684,0.0091,98.4,49746,57,0,0.62,2.88,31.5,0,475743,728
7000,58.00,580,420,1214524,0.2434,55.73,0.085743,0.516,0.0094,98.5,49989,8,0,0.70,2.81,30.7,0,476795,851
8000,60.00,600,400,1217177,0.2427,55.81,0.087616,0.638,0.0082,98.6,50210,69,0,0.64,3.01,30.2,0,477854,975
9000,59.40,594,406,1219824,0.2420,55.89,0.083705,0.839,0.0089,98.8,50465,49,0,0.64,2.85,31.6,0,478910,1099
10000,58.70,587,413,1222468,0.2413,55.97,0.085864,0.587,0.0088,99.1,50700,29,0,0.64,2.95,30.7,0,479966,1225
