Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,62.00,620,380,873071,0.3165,44.07,0.133411,1.923,0.0173,61.1,25058,114,0,0.41,2.84,30.7,0,340644,75
2000,55.00,550,450,876993,0.3158,44.22,0.129842,1.290,0.0123,61.8,25292,-68,0,0.42,2.78,30.2,0,342205,151
3000,59.30,593,407,880806,0.3151,44.37,0.125012,1.573,0.0124,62.5,25530,35,0,0.41,2.78,30.5,0,343726,227
4000,59.70,597,403,884771,0.3144,44.52,0.130338,1.112,0.0130,63.2,25778,46,0,0.45,2.81,30.4,0,345307,303
5000,59.30,593,407,888655,0.3137,44.67,0.125529,1.743,0.0136,64.3,26008,37,0,0.45,2.77,30.7,0,346855,381
6000,58.80,588,412,892280,0.3131,44.81,0.120121,1.316,0.0126,65.1,26242,20,0,0.45,2.81,30.1,0,348300,456
7000,59.60,596,404,896211,0.3124,44.96,0.129042,1.300,0.0130,66.0,26512,36,0,0.46,2.79,30.4,0,349868,534
8000,59.60,596,404,900165,0.3117,45.11,0.125384,1.418,0.0127,66.6,26756,42,0,0.42,2.75,31.5,0,351446,616
9000,58.80,588,412,904360,0.3110,45.24,0.135826,1.458,0.0126,67.2,26991,31,0,0.42,2.87,30.8,0,353116,693
10000,56.40,564,436,908087,0.3103,45.40,0.120121,1.463,0.0119,67.8,27269,-35,0,0.41,2.71,31.0,0,354603,772
