Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,69.50,695,305,472717,0.0500,16.41,48.20,156,1,0.33,3.41,38.3,2,180646,85
2000,72.00,720,280,473590,0.0500,16.46,48.23,225,0,0.34,3.49,37.7,2,180989,167
3000,73.70,737,263,474423,0.0500,16.52,48.27,267,0,0.40,3.53,37.3,2,181316,251
4000,71.30,713,287,475227,0.0500,16.59,48.31,205,0,0.33,3.49,38.6,3,181632,336
5000,71.70,717,283,476081,0.0500,16.65,48.35,216,0,0.34,3.49,37.1,1,181967,421
6000,70.20,702,298,476861,0.0500,16.70,48.39,152,0,0.34,3.37,36.0,1,182273,500
7000,71.60,716,284,477624,0.0500,16.77,48.44,205,0,0.34,3.44,38.0,2,182572,593
8000,72.20,722,278,478397,0.0500,16.82,48.47,224,0,0.34,3.50,36.4,2,182876,686
9000,72.70,727,273,479071,0.0500,16.89,48.51,228,0,0.34,3.51,37.2,1,183141,795
10000,74.70,747,253,479920,0.0500,16.95,48.53,306,0,0.34,3.54,38.4,2,183474,936
