Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,56.80,568,432,681354,0.3441,37.01,0.160549,3.530,0.0174,41.9,15198,-39,0,0.44,2.62,28.2,0,264269,68
2000,58.70,587,413,685921,0.3434,37.24,0.158974,2.760,0.0149,43.3,15436,21,0,0.43,2.66,28.7,0,266083,140
3000,57.90,579,421,690387,0.3427,37.48,0.155064,2.736,0.0155,44.7,15677,0,0,0.46,2.71,28.8,0,267860,213
4000,60.30,603,397,694870,0.3420,37.72,0.152972,3.095,0.0152,46.0,15940,59,0,0.46,2.71,29.3,0,269644,288
5000,58.50,585,415,699390,0.3413,37.95,0.156201,2.720,0.0137,47.3,16185,10,0,0.43,2.70,28.9,0,271444,361
6000,57.40,574,426,703582,0.3407,38.17,0.150515,2.462,0.0148,48.4,16420,-10,0,0.43,2.73,27.8,0,273116,432
7000,59.60,596,404,707900,0.3400,38.39,0.148319,2.699,0.0153,49.6,16660,32,0,0.42,2.69,29.1,0,274836,505
8000,61.20,612,388,712396,0.3393,38.61,0.156176,2.607,0.0145,50.1,16910,76,0,0.43,2.73,28.8,0,276627,579
9000,60.50,605,395,716588,0.3386,38.81,0.148595,2.467,0.0160,51.4,17112,61,0,0.43,2.73,28.2,0,278296,653
10000,59.50,595,405,720585,0.3379,39.05,0.141462,2.432,0.0143,52.1,17383,44,0,0.43,2.79,28.2,0,279888,724
