Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,57.00,570,430,1318695,0.2061,60.91,0.071343,0.618,0.0165,112.0,63867,-14,0,0.75,2.91,30.9,0,518048,87
2000,57.90,579,421,1320962,0.2054,60.97,0.073868,0.841,0.0088,112.7,64059,1,0,0.75,2.90,30.6,0,518952,176
3000,56.50,565,435,1323223,0.2047,61.03,0.072200,0.368,0.0082,112.5,64269,-28,0,0.77,2.83,31.3,0,519855,267
4000,54.10,541,459,1325519,0.2040,61.09,0.073437,0.500,0.0082,112.4,64515,-89,0,0.74,2.81,31.2,0,520774,358
5000,55.50,555,445,1327832,0.2033,61.15,0.075207,0.525,0.0070,112.5,64739,-58,0,0.79,2.85,30.7,0,521696,450
6000,57.40,574,426,1329949,0.2027,61.20,0.070157,0.431,0.0072,112.7,64951,-6,0,0.75,2.93,30.1,0,522541,539
7000,55.00,550,450,1332251,0.2020,61.26,0.075386,0.647,0.0077,112.7,65160,-66,0,0.75,2.90,30.4,0,523459,631
8000,55.70,557,443,1334537,0.2013,61.31,0.073288,0.392,0.0073,112.8,65363,-52,0,0.75,2.76,31.2,0,524372,721
9000,57.30,573,427,1336793,0.2006,61.37,0.074045,0.547,0.0072,112.9,65580,-11,0,0.75,2.93,30.4,0,525273,812
10000,57.00,570,430,1339166,0.1999,61.41,0.076801,0.693,0.0077,112.8,65760,-20,0,0.75,2.87,30.8,0,526221,905
