Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,58.90,589,411,1566060,0.1086,67.24,0.050763,0.919,0.0128,122.7,91095,39,0,0.75,2.93,30.5,0,616884,89
2000,57.90,579,421,1567644,0.1077,67.28,0.050398,0.490,0.0047,122.7,91292,13,0,0.74,2.85,31.4,0,617519,181
3000,56.00,560,440,1569433,0.1069,67.32,0.056646,0.459,0.0051,122.4,91504,-48,0,0.77,2.84,31.5,0,618233,276
4000,58.90,589,411,1570850,0.1060,67.37,0.045778,0.336,0.0046,122.3,91707,43,0,0.75,2.93,30.9,0,618800,368
5000,62.20,622,378,1572288,0.1050,67.40,0.046981,0.446,0.0044,122.3,91886,129,0,0.75,2.98,30.6,0,619376,460
6000,60.40,604,396,1573744,0.1041,67.45,0.048147,0.636,0.0043,122.4,92094,80,0,0.75,2.93,30.2,0,619960,551
7000,57.80,578,422,1575324,0.1032,67.48,0.051285,0.429,0.0044,122.3,92276,14,0,0.80,2.92,30.8,0,620590,647
8000,58.60,586,414,1576899,0.1023,67.52,0.049839,0.629,0.0050,122.2,92472,26,0,0.75,2.94,31.6,1,621220,740
9000,60.10,601,399,1578421,0.1014,67.56,0.048774,0.455,0.0044,122.1,92656,79,0,0.75,2.97,31.2,1,621829,834
10000,56.90,569,431,1580025,0.1006,67.59,0.051174,0.568,0.0044,122.0,92820,-14,0,0.75,2.83,31.3,0,622470,930
