Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,32.60,326,674,295543,0.3855,16.57,0.354772,8.006,0.0039,4.9,2339,-675,0,1.04,2.59,29.6,0,110413,109
2000,32.20,322,678,306088,0.3848,17.01,0.352381,8.269,0.0037,5.0,2505,-683,0,1.03,2.57,29.9,0,114657,218
3000,35.10,351,649,316631,0.3841,17.43,0.347713,7.320,0.0038,5.2,2663,-599,0,1.04,2.54,30.3,0,118912,328
4000,32.90,329,671,326975,0.3834,17.80,0.345134,6.687,0.0040,5.3,2806,-653,0,1.10,2.60,29.9,0,123088,441
5000,39.00,390,610,337212,0.3827,18.31,0.326175,7.651,0.0045,5.6,2994,-508,0,1.06,2.57,31.3,0,127235,556
6000,35.10,351,649,347184,0.3821,18.67,0.336199,6.841,0.0054,5.9,3147,-610,0,1.07,2.63,29.6,0,131263,665
7000,31.90,319,681,357081,0.3814,19.11,0.325677,6.342,0.0037,5.8,3332,-683,0,1.02,2.63,30.3,0,135270,778
8000,33.80,338,662,366814,0.3807,19.54,0.321401,7.292,0.0045,6.1,3511,-638,0,1.10,2.57,30.2,0,139214,891
9000,34.90,349,651,375976,0.3800,19.93,0.311072,6.145,0.0039,6.4,3686,-614,0,1.02,2.62,29.2,0,142926,1002
10000,32.70,327,673,385151,0.3793,20.30,0.307278,6.821,0.0037,6.5,3855,-663,0,1.10,2.63,29.8,0,146634,1113
