Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,47.60,476,524,630128,0.3510,34.79,0.181100,4.408,0.0161,35.1,12977,-287,0,0.41,2.60,28.6,0,243884,68
2000,43.60,436,564,635387,0.3503,34.99,0.189602,4.254,0.0128,35.4,13175,-392,0,0.42,2.58,27.7,0,245977,137
3000,43.30,433,567,640681,0.3496,35.22,0.187127,3.806,0.0129,36.1,13391,-400,0,0.42,2.60,28.3,0,248082,208
4000,45.20,452,548,645933,0.3489,35.45,0.181749,3.569,0.0122,36.7,13612,-352,0,0.41,2.58,28.9,0,250170,279
5000,46.80,468,532,651227,0.3482,35.64,0.184969,3.353,0.0128,37.6,13799,-316,0,0.41,2.53,28.6,0,252279,350
6000,47.40,474,526,656428,0.3476,35.85,0.179277,3.323,0.0124,38.1,14002,-293,0,0.45,2.58,29.0,0,254352,423
7000,45.30,453,547,661552,0.3469,36.09,0.177050,3.271,0.0138,38.6,14251,-343,0,0.42,2.57,28.9,0,256393,496
8000,45.70,457,543,666631,0.3462,36.34,0.174458,2.546,0.0132,39.3,14504,-332,0,0.47,2.62,29.1,0,258415,569
9000,48.00,480,520,671797,0.3455,36.57,0.175053,3.330,0.0143,39.9,14745,-270,0,0.41,2.62,29.5,0,260471,642
10000,43.70,437,563,676818,0.3448,36.78,0.174923,2.994,0.0141,40.2,14959,-394,0,0.41,2.51,28.7,0,262468,715
