Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,38.00,380,620,766856,0.3441,34.08,0.199416,3.328,0.0036,12.7,15360,-537,0,1.28,2.73,31.1,0,301970,136
2000,35.90,359,641,773061,0.3434,34.23,0.206682,2.379,0.0033,12.7,15580,-576,0,1.31,2.66,30.0,0,304501,273
3000,38.30,383,617,779164,0.3427,34.41,0.198149,2.612,0.0032,12.8,15822,-520,0,1.29,2.65,30.8,0,306987,414
4000,35.70,357,643,785244,0.3420,34.59,0.191605,3.067,0.0033,12.9,16066,-584,0,1.26,2.73,31.7,0,309469,556
5000,39.20,392,608,791350,0.3413,34.76,0.198666,2.811,0.0033,13.1,16310,-503,0,1.27,2.75,30.7,0,311953,697
6000,36.10,361,639,797616,0.3407,34.92,0.203468,2.959,0.0033,13.2,16550,-580,0,1.29,2.58,30.8,0,314509,839
7000,35.10,351,649,803585,0.3400,35.12,0.191045,2.639,0.0032,13.3,16811,-598,0,1.32,2.69,31.2,0,316952,981
8000,34.50,345,655,809744,0.3393,35.30,0.192349,2.855,0.0035,13.4,17059,-617,0,1.25,2.60,32.0,0,319472,1125
9000,37.20,372,628,815737,0.3386,35.47,0.189754,2.576,0.0033,13.5,17299,-553,0,1.27,2.72,31.6,0,321918,1269
10000,37.60,376,624,821800,0.3379,35.66,0.188867,2.386,0.0031,13.6,17563,-526,0,1.27,2.64,31.9,0,324397,1416
