Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,37.50,375,625,22658,0.3993,1.15,-1.000000,-1.000,-1.0000,4.0,10,-537,0,1.12,2.56,29.3,0,7935,119
2000,33.60,336,664,42611,0.3986,2.32,0.675228,21.247,0.0065,3.2,42,-639,0,1.05,2.58,29.5,0,14924,225
3000,33.40,334,666,61211,0.3979,3.32,0.630060,31.250,0.0079,3.0,91,-637,0,1.00,2.56,29.5,0,21445,330
4000,36.00,360,640,78200,0.3972,4.29,0.585162,30.934,0.0102,3.0,156,-588,0,0.94,2.55,29.0,0,27408,429
5000,31.30,313,687,93943,0.3965,5.32,0.550243,28.329,0.0077,2.9,233,-709,0,0.99,2.57,28.6,0,32943,526
6000,34.10,341,659,109644,0.3959,6.41,0.526879,29.160,0.0117,4.2,324,-626,0,0.94,2.48,29.7,0,38467,628
7000,35.10,351,649,124536,0.3952,7.37,0.503006,22.574,0.0094,4.4,427,-608,0,0.94,2.61,29.6,0,43721,729
8000,32.30,323,677,138953,0.3945,8.25,0.480119,20.241,0.0065,4.6,533,-676,0,1.03,2.58,29.9,0,48798,841
9000,34.10,341,659,152759,0.3938,9.03,0.467493,16.858,0.0077,4.7,635,-627,0,1.05,2.55,29.5,0,53659,945
10000,35.50,355,645,166587,0.3931,9.68,0.458078,14.261,0.0067,4.7,746,-590,0,0.95,2.53,30.1,0,58530,1044
