Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,54.70,547,453,1404708,0.1784,63.11,0.067480,1.161,0.0164,117.4,72374,-80,0,0.74,2.79,30.9,0,552395,87
2000,54.00,540,460,1406829,0.1777,63.17,0.069834,0.467,0.0074,117.3,72602,-99,0,0.77,2.79,30.3,0,553241,178
3000,57.10,571,429,1408859,0.1770,63.23,0.065624,0.343,0.0074,117.1,72834,-10,0,0.75,2.86,30.9,0,554053,270
4000,52.40,524,476,1410942,0.1763,63.28,0.064092,0.604,0.0065,117.1,73050,-134,0,0.74,2.84,32.5,1,554884,365
5000,55.30,553,447,1412882,0.1756,63.33,0.063797,0.545,0.0067,117.2,73250,-51,0,0.76,2.95,30.4,0,555660,455
6000,57.00,570,430,1414871,0.1749,63.38,0.065252,0.668,0.0077,117.5,73441,-15,0,0.79,2.86,30.4,0,556453,547
7000,54.50,545,455,1416854,0.1742,63.42,0.065487,0.510,0.0066,117.5,73642,-76,0,0.75,2.79,30.2,0,557245,638
8000,57.90,579,421,1418816,0.1735,63.47,0.064599,0.560,0.0066,117.5,73855,3,0,0.75,2.90,30.3,0,558030,730
9000,57.20,572,428,1420755,0.1728,63.52,0.062349,0.338,0.0064,117.5,74058,-12,0,0.74,2.90,31.1,0,558804,820
10000,57.10,571,429,1422637,0.1721,63.57,0.061100,0.664,0.0079,117.0,74263,-22,0,0.75,2.89,30.8,0,559553,913
