Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,60.00,600,400,1657030,0.0538,69.45,0.042039,1.048,0.0130,124.1,102954,69,0,0.75,2.91,30.7,0,653274,89
2000,61.10,611,389,1658361,0.0527,69.49,0.042694,0.232,0.0037,123.9,103150,94,0,0.74,2.86,31.1,0,653806,183
3000,60.10,601,399,1659766,0.0517,69.52,0.045154,0.369,0.0036,123.8,103330,75,0,0.75,2.89,31.0,0,654367,278
4000,59.70,597,403,1661261,0.0508,69.55,0.048014,0.372,0.0033,123.7,103515,55,0,0.74,2.88,31.1,0,654964,372
5000,60.80,608,392,1662674,0.0500,69.58,0.044507,0.269,0.0036,123.6,103697,89,0,0.75,2.92,31.7,0,655529,468
6000,61.90,619,381,1664064,0.0500,69.62,0.044702,0.184,0.0034,123.6,103906,114,0,0.75,2.92,31.1,0,656087,561
7000,63.80,638,362,1665342,0.0500,69.65,0.042006,0.352,0.0035,123.5,104099,164,0,0.75,2.93,30.2,0,656598,655
8000,61.10,611,389,1666608,0.0500,69.69,0.040801,0.630,0.0035,123.6,104287,95,0,0.74,2.94,31.0,0,657105,749
9000,61.80,618,382,1668015,0.0500,69.73,0.043660,0.329,0.0034,123.4,104508,112,0,0.75,2.87,31.8,1,657668,847
10000,58.80,588,412,1669402,0.0500,69.77,0.043644,0.308,0.0037,123.2,104731,40,0,0.75,2.84,31.7,0,658224,945
