Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,51.20,512,488,1253846,0.2337,56.74,0.090220,1.073,0.0142,99.6,53104,-167,0,0.64,2.76,29.8,0,492487,109
2000,51.60,516,484,1256687,0.2330,56.81,0.095798,0.733,0.0087,99.6,53327,-169,0,0.62,2.73,29.6,0,493617,225
3000,50.70,507,493,1259443,0.2323,56.88,0.090804,0.806,0.0083,99.6,53561,-193,0,0.66,2.72,30.3,0,494716,345
4000,53.40,534,466,1262112,0.2316,56.95,0.089687,0.831,0.0086,99.5,53767,-112,0,0.63,2.82,29.7,0,495781,462
5000,50.10,501,499,1264601,0.2309,57.02,0.083940,0.807,0.0092,99.5,53977,-192,0,0.67,2.80,29.6,0,496776,579
6000,53.10,531,469,1267259,0.2303,57.10,0.089234,0.690,0.0089,99.7,54222,-129,0,0.62,2.84,29.7,0,497837,698
7000,51.80,518,482,1270042,0.2296,57.17,0.089609,0.713,0.0084,99.7,54461,-151,0,0.63,2.79,31.0,0,498949,818
8000,51.20,512,488,1272704,0.2289,57.24,0.086493,0.500,0.0081,99.9,54699,-158,0,0.61,2.78,30.7,0,500012,937
9000,54.30,543,457,1275353,0.2282,57.32,0.087599,0.611,0.0086,99.9,54936,-92,0,0.71,2.88,30.2,0,501069,1069
10000,50.30,503,497,1277817,0.2275,57.38,0.084136,0.682,0.0083,99.9,55104,-194,0,0.62,2.81,29.2,0,502053,1187
