Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,51.70,517,483,1027775,0.2820,52.11,0.105883,1.200,0.0156,88.0,38412,-162,0,0.75,2.81,31.1,0,401955,86
2000,52.20,522,478,1031018,0.2813,52.21,0.103488,1.007,0.0113,88.3,38659,-153,0,0.74,2.78,31.3,0,403246,174
3000,50.30,503,497,1034472,0.2806,52.32,0.109567,0.790,0.0116,88.4,38917,-203,0,0.74,2.79,31.5,0,404626,262
4000,47.90,479,521,1037603,0.2799,52.46,0.090646,0.875,0.0106,88.5,39184,-255,0,0.72,2.70,30.7,0,405875,353
5000,49.70,497,503,1040879,0.2792,52.55,0.106116,0.776,0.0120,88.4,39409,-222,0,0.80,2.81,30.8,0,407182,441
6000,53.50,535,465,1043964,0.2786,52.65,0.101357,0.745,0.0131,88.4,39629,-114,0,0.75,2.81,30.4,0,408412,529
7000,50.70,507,493,1047137,0.2779,52.75,0.106810,1.022,0.0117,88.8,39855,-189,0,0.75,2.84,29.7,0,409675,616
8000,52.70,527,473,1050444,0.2772,52.83,0.107534,0.665,0.0106,89.3,40072,-140,0,0.75,2.79,30.7,0,410994,702
9000,53.40,534,466,1053529,0.2765,52.94,0.098970,0.819,0.0119,89.8,40331,-118,0,0.75,2.74,31.1,0,412225,793
10000,54.30,543,457,1056741,0.2758,53.04,0.101248,0.908,0.0104,90.1,40571,-94,0,0.75,2.77,31.6,0,413506,885
