Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,51.90,519,481,1587011,0.1274,65.08,0.062317,0.743,0.0129,115.0,85601,-143,0,0.42,2.84,31.4,0,625538,81
2000,51.20,512,488,1589096,0.1267,65.12,0.066270,0.451,0.0051,114.9,85809,-158,0,0.42,2.83,31.4,0,626372,166
3000,55.30,553,447,1591087,0.1260,65.16,0.063775,0.612,0.0048,114.8,86028,-63,0,0.42,2.90,31.2,0,627168,250
4000,53.40,534,466,1592973,0.1253,65.20,0.060992,0.336,0.0048,114.8,86238,-105,0,0.42,2.95,30.9,0,627922,334
5000,51.90,519,481,1594917,0.1246,65.24,0.062258,0.463,0.0048,114.7,86467,-148,0,0.46,2.90,31.2,0,628698,418
6000,50.40,504,496,1596837,0.1238,65.29,0.060478,0.397,0.0047,114.6,86684,-180,0,0.46,2.85,31.7,0,629464,505
7000,51.80,518,482,1598822,0.1231,65.33,0.061936,0.283,0.0048,114.5,86883,-149,0,0.42,2.79,32.0,0,630258,591
8000,53.30,533,467,1600630,0.1224,65.37,0.058559,0.275,0.0052,114.4,87071,-110,0,0.42,2.92,30.8,0,630981,673
9000,54.10,541,459,1602479,0.1216,65.41,0.057944,0.331,0.0047,114.4,87289,-91,0,0.42,2.88,31.9,0,631720,760
10000,50.10,501,499,1604436,0.1209,65.45,0.060996,0.191,0.0051,114.3,87508,-190,0,0.42,2.88,32.0,0,632502,848
