Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,58.80,588,412,1463180,0.1570,64.58,0.059967,0.749,0.0130,119.9,78653,28,0,0.78,2.94,30.8,0,575754,88
2000,59.70,597,403,1465080,0.1563,64.63,0.061066,0.556,0.0058,119.8,78860,58,0,0.77,2.90,31.1,0,576514,180
3000,59.20,592,408,1466968,0.1556,64.68,0.058679,0.177,0.0060,119.8,79067,35,0,0.78,2.85,32.1,0,577267,274
4000,58.50,585,415,1468843,0.1548,64.73,0.057438,0.205,0.0058,119.8,79278,16,0,0.75,2.83,32.6,0,578017,371
5000,60.10,601,399,1470666,0.1541,64.77,0.059256,0.375,0.0055,119.8,79488,72,0,0.76,2.88,30.7,0,578743,464
6000,58.60,586,414,1472367,0.1533,64.82,0.055581,0.338,0.0057,119.8,79689,25,0,0.80,2.90,30.6,0,579424,555
7000,61.10,611,389,1474219,0.1525,64.87,0.057967,0.453,0.0056,120.0,79919,86,0,0.80,2.88,31.9,0,580165,652
8000,58.60,586,414,1476011,0.1518,64.92,0.057132,0.332,0.0055,120.0,80119,30,0,0.76,2.82,31.3,0,580884,745
9000,60.30,603,397,1477733,0.1510,64.96,0.054188,0.378,0.0061,120.0,80307,64,0,0.75,2.81,31.7,0,581573,840
10000,59.50,595,405,1479473,0.1502,65.01,0.055737,0.715,0.0059,120.1,80510,54,0,0.82,2.93,31.2,0,582267,935
