Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,44.70,447,553,1084773,0.2751,51.52,0.116091,1.220,0.0139,83.1,39408,-347,0,0.41,2.73,30.1,0,425042,75
2000,45.00,450,550,1088189,0.2744,51.61,0.115824,1.044,0.0096,83.3,39621,-336,0,0.41,2.75,29.5,0,426402,149
3000,43.00,430,570,1091716,0.2737,51.70,0.116460,0.930,0.0112,83.6,39865,-395,0,0.41,2.63,30.2,0,427807,229
4000,44.90,449,551,1095350,0.2730,51.79,0.119148,1.036,0.0105,83.6,40107,-350,0,0.41,2.74,30.5,0,429253,307
5000,43.80,438,562,1099087,0.2723,51.87,0.121497,0.795,0.0110,83.8,40330,-379,0,0.41,2.73,30.7,0,430744,386
6000,40.90,409,591,1102470,0.2717,51.95,0.114527,0.724,0.0097,83.7,40547,-449,0,0.41,2.69,29.5,0,432094,463
7000,48.70,487,513,1105813,0.2710,52.06,0.106124,1.124,0.0103,83.8,40786,-239,0,0.46,2.86,31.5,1,433425,544
8000,45.70,457,543,1109376,0.2703,52.15,0.117038,1.309,0.0101,83.9,41022,-312,0,0.41,2.73,30.4,0,434845,624
9000,45.70,457,543,1112881,0.2696,52.24,0.115891,0.969,0.0101,84.1,41261,-324,0,0.41,2.69,30.2,0,436240,701
10000,44.60,446,554,1116299,0.2689,52.32,0.113340,1.024,0.0097,84.2,41464,-348,0,0.41,2.65,30.1,0,437602,781
