Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,26.50,265,735,412237,0.3786,21.09,0.304881,4.820,0.0024,4.3,4496,-834,0,0.43,2.58,33.6,0,156919,88
2000,24.90,249,751,421878,0.3779,21.51,0.293343,5.015,0.0026,4.4,4723,-864,0,0.45,2.57,32.8,0,160834,178
3000,26.00,260,740,431216,0.3772,21.83,0.287810,4.476,0.0020,4.5,4911,-839,0,0.45,2.51,32.4,0,164615,265
4000,25.20,252,748,440629,0.3765,22.15,0.288769,4.447,0.0022,4.6,5114,-861,0,0.47,2.48,32.5,0,168439,355
5000,27.40,274,726,450118,0.3758,22.54,0.291109,3.753,0.0019,4.7,5357,-811,0,0.47,2.52,32.5,0,172317,446
6000,25.80,258,742,459541,0.3752,22.90,0.284151,4.754,0.0024,4.8,5585,-845,0,0.44,2.47,33.1,0,176147,538
7000,27.40,274,726,468731,0.3745,23.26,0.273716,4.678,0.0026,5.0,5819,-814,0,0.43,2.54,33.5,0,179892,631
8000,24.00,240,760,477570,0.3738,23.57,0.278052,4.425,0.0022,5.1,6028,-898,0,0.43,2.48,31.7,0,183485,720
9000,26.40,264,736,486385,0.3731,23.93,0.271892,3.960,0.0022,5.2,6268,-837,0,0.43,2.53,32.4,0,187069,809
10000,25.50,255,745,495124,0.3724,24.29,0.270407,3.782,0.0020,5.3,6510,-862,0,0.50,2.52,32.3,0,190629,900
